Laptops,Price,Ratings
Huawei MateBook D 15  {1},690.00 ,4.7 
Huawei MateBook 13  {2},749.00 ,4.9 
"Apple MacBook Pro 13.3""  {3}",1478.90 ,5.0 
"Apple MacBook Air 13""  {4}",1084.00 ,4.2 
"Apple MacBook Pro 16""  {5}",2484.00 ,4.9 
"Apple MacBook Pro 13.3""  {6}",1488.90 ,5.0 
"Apple MacBook Air 13""  {7}",1352.33 ,5.0 
Lenovo V15-ADA  {8},399.00 ,5.0 
HP 255 G7  {9},590.00 ,4.5 
"Apple MacBook Pro 13.3""  {10}",2054.00 ,5.0 
HP 255 G7  {11},625.00 ,4.8 
"Apple MacBook Pro 16""  {12}",2928.00 ,5.0 
Asus TUF Gaming A15 FA506IU-HN156T  {13},1390.00 ,5.0 
Dell Inspiron 5501  {14},1199.00 ,5.0 
Dell Inspiron 5501  {15},1359.99 ,5.0 
Lenovo IdeaPad S145-15API  {16},539.00 ,5.0 
Dell Inspiron 5501  {17},868.00 ,0.0 
"Apple MacBook Air 13""  {18}",1084.00 ,4.2 
